,Q_HC,T_op,T_ext,Q_H,Q_C
2009-01-01 00:00:00,1995.1304252175457,20.0,18.45,1995,0
2009-01-01 01:00:00,2900.1581971307783,20.0,4.18,2900,0
2009-01-01 02:00:00,2741.3519050355185,20.000000000000007,4.95,2741,0
2009-01-01 03:00:00,2669.575629544598,20.000000000000004,5.73,2669,0
2009-01-01 04:00:00,2596.289502537789,20.0,6.5,2596,0
2009-01-01 05:00:00,2520.178294516124,20.0,7.27,2520,0
2009-01-01 06:00:00,2439.923369836659,20.0,8.04,2439,0
2009-01-01 07:00:00,2354.0902351604273,20.0,8.81,2354,0
2009-01-01 08:00:00,0.0,19.09842499850579,9.59,0,0
2009-01-01 09:00:00,0.0,18.804897932441484,10.14,0,0
2009-01-01 10:00:00,0.0,18.697199556837198,10.32,0,0
2009-01-01 11:00:00,0.0,18.64034210630226,10.49,0,0
2009-01-01 12:00:00,3443.92518047659,20.0,10.67,3443,0
2009-01-01 13:00:00,2156.9819087849096,20.0,10.14,2156,0
2009-01-01 14:00:00,0.0,19.201720846849348,9.62,0,0
2009-01-01 15:00:00,0.0,19.144856875509312,9.1,0,0
2009-01-01 16:00:00,0.0,18.980378399423845,8.01,0,0
2009-01-01 17:00:00,0.0,18.837071168393237,6.91,0,0
2009-01-01 18:00:00,3167.5911101114066,20.0,5.81,3167,0
2009-01-01 19:00:00,2132.2631783661177,20.0,5.18,2132,0
2009-01-01 20:00:00,2060.3890372188707,20.0,4.55,2060,0
2009-01-01 21:00:00,2030.3477720021544,20.0,3.92,2030,0
2009-01-01 22:00:00,2022.5920037421836,20.000000000000007,3.4,2022,0
2009-01-01 23:00:00,2037.2483892682264,20.0,2.88,2037,0
2009-01-02 00:00:00,2069.4504308539945,20.0,2.36,2069,0
2009-01-02 01:00:00,2071.7111462640196,20.0,2.57,2071,0
2009-01-02 02:00:00,2087.470876595524,19.999999999999996,2.78,2087,0
2009-01-02 03:00:00,2109.313065432251,20.000000000000007,2.99,2109,0
2009-01-02 04:00:00,2118.8227467805877,20.0,3.46,2118,0
2009-01-02 05:00:00,2129.576998825162,20.0,3.94,2129,0
2009-01-02 06:00:00,2139.1585129848963,20.0,4.41,2139,0
2009-01-02 07:00:00,2114.5930840638352,20.0,5.38,2114,0
2009-01-02 08:00:00,0.0,19.168486476952125,6.36,0,0
2009-01-02 09:00:00,0.0,19.15478084882372,7.33,0,0
2009-01-02 10:00:00,0.0,19.532941963778697,7.94,0,0
2009-01-02 11:00:00,0.0,19.786435077512465,8.55,0,0
2009-01-02 12:00:00,90.30343701284664,19.999999999999996,9.17,90,0
2009-01-02 13:00:00,0.0,20.228623351930562,8.77,0,0
2009-01-02 14:00:00,0.0,20.454092366377107,8.37,0,0
2009-01-02 15:00:00,0.0,20.597000826860477,7.97,0,0
2009-01-02 16:00:00,0.0,20.22057243073573,7.08,0,0
2009-01-02 17:00:00,0.0,19.96904257696724,6.19,0,0
2009-01-02 18:00:00,496.9830777854257,20.000000000000004,5.29,496,0
2009-01-02 19:00:00,626.6459151703539,19.999999999999993,4.51,626,0
2009-01-02 20:00:00,756.9041613509582,20.0,3.73,756,0
2009-01-02 21:00:00,879.2605935694648,20.0,2.95,879,0
2009-01-02 22:00:00,958.9829477693596,19.999999999999996,2.87,958,0
2009-01-02 23:00:00,1043.2993119926184,20.0,2.8,1043,0
2009-01-03 00:00:00,1130.0337478856413,20.0,2.72,1130,0
2009-01-03 01:00:00,1160.813033089394,20.0,3.58,1160,0
2009-01-03 02:00:00,1193.7113087269122,20.0,4.44,1193,0
2009-01-03 03:00:00,1220.5232605877693,20.0,5.3,1220,0
2009-01-03 04:00:00,1316.7874237368385,19.999999999999996,4.89,1316,0
2009-01-03 05:00:00,1401.1259443925537,19.999999999999996,4.49,1401,0
2009-01-03 06:00:00,1483.834244612838,20.0,4.08,1483,0
2009-01-03 07:00:00,1512.9918456202554,20.0,4.53,1512,0
2009-01-03 08:00:00,0.0,19.384286286743297,4.97,0,0
2009-01-03 09:00:00,0.0,19.632824924841685,5.42,0,0
2009-01-03 10:00:00,0.0,19.9474366342415,6.45,0,0
2009-01-03 11:00:00,0.0,20.1958204922504,7.48,0,0
2009-01-03 12:00:00,0.0,20.370959019624152,8.51,0,0
2009-01-03 13:00:00,0.0,20.49157552886917,8.43,0,0
2009-01-03 14:00:00,0.0,20.65065803097926,8.36,0,0
2009-01-03 15:00:00,0.0,20.844353460867133,8.28,0,0
2009-01-03 16:00:00,0.0,20.471050539795584,6.54,0,0
2009-01-03 17:00:00,0.0,20.20190912807808,4.8,0,0
2009-01-03 18:00:00,0.0,20.00378602190405,3.05,0,0
2009-01-03 19:00:00,310.4226465696166,20.0,3.12,310,0
2009-01-03 20:00:00,454.28747854539625,20.000000000000004,3.19,454,0
2009-01-03 21:00:00,575.8897392319833,20.000000000000007,3.26,575,0
2009-01-03 22:00:00,717.529699012642,20.0,2.83,717,0
2009-01-03 23:00:00,851.9995590722409,19.999999999999996,2.4,851,0
2009-01-04 00:00:00,985.717080441997,20.0,1.96,985,0
2009-01-04 01:00:00,1065.2195491237653,20.000000000000004,2.41,1065,0
2009-01-04 02:00:00,1147.5623680345116,20.000000000000007,2.85,1147,0
2009-01-04 03:00:00,1224.860888421256,19.999999999999996,3.3,1224,0
2009-01-04 04:00:00,1317.3374058666873,20.0,3.41,1317,0
2009-01-04 05:00:00,1402.6701071772106,20.0,3.52,1402,0
2009-01-04 06:00:00,1482.7769409564055,19.999999999999996,3.63,1482,0
2009-01-04 07:00:00,1500.7127683089384,19.999999999999996,4.67,1500,0
2009-01-04 08:00:00,0.0,19.39609998817084,5.71,0,0
2009-01-04 09:00:00,0.0,19.180373884754694,6.75,0,0
2009-01-04 10:00:00,0.0,19.112522814520965,7.74,0,0
2009-01-04 11:00:00,0.0,19.134331866975508,8.73,0,0
2009-01-04 12:00:00,2101.681860308123,20.0,9.72,2101,0
2009-01-04 13:00:00,1399.1253913535193,20.0,8.97,1399,0
2009-01-04 14:00:00,0.0,19.43371812506392,8.22,0,0
2009-01-04 15:00:00,0.0,19.192089016646342,7.47,0,0
2009-01-04 16:00:00,0.0,19.081297700965106,6.98,0,0
2009-01-04 17:00:00,0.0,18.97928334255844,6.49,0,0
2009-01-04 18:00:00,2762.763271341265,19.999999999999996,6.0,2762,0
2009-01-04 19:00:00,1882.8971841651737,20.0,5.47,1882,0
2009-01-04 20:00:00,1844.8855260402272,19.999999999999996,4.93,1844,0
2009-01-04 21:00:00,1839.927862633642,20.000000000000007,4.4,1839,0
2009-01-04 22:00:00,1866.9865821356739,20.000000000000004,3.71,1866,0
2009-01-04 23:00:00,1909.6814840008092,20.0,3.03,1909,0
2009-01-05 00:00:00,1967.3619667312332,20.0,2.34,1967,0
2009-01-05 01:00:00,2030.3479655882427,20.0,1.77,2030,0
2009-01-05 02:00:00,2105.14930306592,20.000000000000007,1.2,2105,0
2009-01-05 03:00:00,2190.0871883751156,20.0,0.63,2190,0
2009-01-05 04:00:00,2255.613713577339,19.999999999999996,0.53,2255,0
2009-01-05 05:00:00,2329.7120777992623,20.0,0.44,2329,0
2009-01-05 06:00:00,2409.234829076629,20.0,0.34,2409,0
2009-01-05 07:00:00,2436.3839994928426,20.0,1.15,2436,0
2009-01-05 08:00:00,0.0,19.016347408706146,1.96,0,0
2009-01-05 09:00:00,0.0,19.11283667382787,2.77,0,0
2009-01-05 10:00:00,0.0,19.353256992658373,4.09,0,0
2009-01-05 11:00:00,0.0,19.555550704243736,5.41,0,0
2009-01-05 12:00:00,791.1618543063145,20.0,6.74,791,0
2009-01-05 13:00:00,0.0,20.024169571317714,6.8,0,0
2009-01-05 14:00:00,0.0,20.155303874003756,6.87,0,0
2009-01-05 15:00:00,0.0,20.262630668006693,6.93,0,0
2009-01-05 16:00:00,0.0,19.857569906350882,6.63,0,0
2009-01-05 17:00:00,0.0,19.597739627058836,6.33,0,0
2009-01-05 18:00:00,1431.9315492433582,20.000000000000004,6.03,1431,0
2009-01-05 19:00:00,1211.2886352752796,20.000000000000004,5.44,1211,0
2009-01-05 20:00:00,1288.5793368584193,19.999999999999996,4.84,1288,0
2009-01-05 21:00:00,1362.2684477860669,19.999999999999993,4.25,1362,0
2009-01-05 22:00:00,1412.6829869257028,20.0,4.06,1412,0
2009-01-05 23:00:00,1467.2348883590673,20.0,3.87,1467,0
2009-01-06 00:00:00,1524.8392388840466,20.0,3.67,1524,0
2009-01-06 01:00:00,1557.4841718309244,20.0,3.92,1557,0
2009-01-06 02:00:00,1593.1554316520585,20.0,4.17,1593,0
2009-01-06 03:00:00,1628.015016617097,20.0,4.42,1628,0
2009-01-06 04:00:00,1693.492785024089,20.000000000000004,4.14,1693,0
2009-01-06 05:00:00,1755.1702870813356,20.0,3.87,1755,0
2009-01-06 06:00:00,1817.9654462791796,20.0,3.59,1817,0
2009-01-06 07:00:00,1844.3276240183213,20.0,3.92,1844,0
2009-01-06 08:00:00,0.0,19.25321814096302,4.25,0,0
2009-01-06 09:00:00,0.0,19.443596782002643,4.58,0,0
2009-01-06 10:00:00,0.0,19.743132832230433,6.19,0,0
2009-01-06 11:00:00,0.0,19.997879650679106,7.8,0,0
2009-01-06 12:00:00,0.0,20.142993740540447,9.41,0,0
2009-01-06 13:00:00,151.29535983094766,20.0,8.65,151,0
2009-01-06 14:00:00,0.0,19.76569973671137,7.9,0,0
2009-01-06 15:00:00,0.0,19.61936754966878,7.15,0,0
2009-01-06 16:00:00,0.0,19.485516407548545,5.93,0,0
2009-01-06 17:00:00,0.0,19.3495107650711,4.7,0,0
2009-01-06 18:00:00,1931.4474951094353,20.0,3.47,1931,0
2009-01-06 19:00:00,1417.193087422731,20.000000000000004,3.26,1417,0
2009-01-06 20:00:00,1442.827986666001,20.0,3.04,1442,0
2009-01-06 21:00:00,1488.1330576855157,20.0,2.83,1488,0
2009-01-06 22:00:00,1525.9023353265718,19.999999999999996,2.96,1525,0
2009-01-06 23:00:00,1573.2011230327234,20.0,3.09,1573,0
2009-01-07 00:00:00,1625.330632078056,19.999999999999993,3.21,1625,0
2009-01-07 01:00:00,1676.2763756973534,20.0,3.38,1676,0
2009-01-07 02:00:00,1727.5546806430464,19.999999999999996,3.55,1727,0
2009-01-07 03:00:00,1777.5771435755066,20.0,3.72,1777,0
2009-01-07 04:00:00,1839.499520481169,20.0,3.66,1839,0
2009-01-07 05:00:00,1898.96731013896,20.0,3.59,1898,0
2009-01-07 06:00:00,1956.1605395949712,20.000000000000007,3.53,1956,0
2009-01-07 07:00:00,1964.1159381364748,20.0,4.25,1964,0
2009-01-07 08:00:00,0.0,19.21361411396349,4.96,0,0
2009-01-07 09:00:00,0.0,19.016637501360094,5.68,0,0
2009-01-07 10:00:00,0.0,18.976770881139043,6.95,0,0
2009-01-07 11:00:00,0.0,19.11194757448412,8.22,0,0
2009-01-07 12:00:00,2072.127850480411,19.999999999999996,9.5,2072,0
2009-01-07 13:00:00,1433.635669865255,20.000000000000004,9.2,1433,0
2009-01-07 14:00:00,0.0,19.51187473897931,8.9,0,0
2009-01-07 15:00:00,0.0,19.266299668338835,8.6,0,0
2009-01-07 16:00:00,0.0,19.145400432077707,7.31,0,0
2009-01-07 17:00:00,0.0,18.993157118789846,6.01,0,0
2009-01-07 18:00:00,2824.52046160632,20.0,4.71,2824,0
2009-01-07 19:00:00,1951.6152519758964,20.000000000000004,4.38,1951,0
2009-01-07 20:00:00,1913.277730725115,20.000000000000007,4.04,1913,0
2009-01-07 21:00:00,1907.0637358057654,20.0,3.71,1907,0
2009-01-07 22:00:00,1889.2765487467534,20.000000000000004,3.92,1889,0
2009-01-07 23:00:00,1886.7199360609125,19.999999999999996,4.14,1886,0
2009-01-08 00:00:00,1892.5503183325757,20.0,4.35,1892,0
2009-01-08 01:00:00,1891.0560358947353,20.0,4.75,1891,0
2009-01-08 02:00:00,1891.7244042344805,20.0,5.15,1891,0
2009-01-08 03:00:00,1891.308440439735,20.000000000000004,5.55,1891,0
2009-01-08 04:00:00,1920.103304343164,20.0,5.43,1920,0
2009-01-08 05:00:00,1944.0378416416622,20.0,5.32,1944,0
2009-01-08 06:00:00,1967.8066164871152,19.999999999999993,5.2,1967,0
2009-01-08 07:00:00,1951.9346731720418,20.0,5.72,1951,0
2009-01-08 08:00:00,0.0,19.227944596041425,6.25,0,0
2009-01-08 09:00:00,0.0,19.038059819767557,6.77,0,0
2009-01-08 10:00:00,0.0,19.047856581179097,7.56,0,0
2009-01-08 11:00:00,0.0,19.12314201790428,8.35,0,0
2009-01-08 12:00:00,2436.981385928342,20.0,9.15,2436,0
2009-01-08 13:00:00,1602.0502026897102,20.0,8.86,1602,0
2009-01-08 14:00:00,0.0,19.421455773020067,8.57,0,0
2009-01-08 15:00:00,0.0,19.205323462798983,8.28,0,0
2009-01-08 16:00:00,0.0,19.11738465369917,7.92,0,0
2009-01-08 17:00:00,0.0,19.00124460502886,7.55,0,0
2009-01-08 18:00:00,2701.6718692085237,20.000000000000007,7.18,2701,0
2009-01-08 19:00:00,1801.13577214811,20.0,7.09,1801,0
2009-01-08 20:00:00,1720.4707006378528,20.0,7.0,1720,0
2009-01-08 21:00:00,1668.3362378634438,20.000000000000004,6.91,1668,0
2009-01-08 22:00:00,1627.9851884929885,20.000000000000007,6.91,1627,0
