Date/Time,ZONE SURFACE NORTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2771979.0068635647,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2596790.401594089,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2347475.505606902,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2312922.3755152808,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2306383.34758261,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2331298.878606892,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2374003.5120807886,0.0 
 01/01  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000004,2401461.8506896114,0.0 
 01/01  09:00:00,0.0,0.0,1.4420611133644752,8.100000000000001,0.5,1.4420611133644752,4.800000000000001,0.5,1.4420611133644752,0.0,0.0,1.4420611133644752,24.0,0.5,2.8125,3.0,0.5,1.4420611133644752,5.5692417840959,0.0,5.5692417840959,20049.27042274524,0.0,20049.27042274524,3.0,0.5,1.4420611133644752,5.5692417840959,0.0,5.5692417840959,20049.27042274524,0.0,20049.27042274524,20.0,2429715.8143680193,0.0 
 01/01  10:00:00,0.0,0.0,9.371694381053674,16.200000000000003,1.0,9.371694381053674,9.600000000000001,1.0,9.371694381053674,0.0,0.0,9.371694381053674,48.0,1.0,18.1875,6.0,1.0,9.371694381053674,36.19349516538087,0.0,36.19349516538087,130296.58259537112,0.0,130296.58259537112,6.0,1.0,9.371694381053674,36.19349516538087,0.0,36.19349516538087,130296.58259537112,0.0,130296.58259537112,20.0,2324606.7814284954,0.0 
 01/01  11:00:00,0.0,0.0,20.540421510296436,16.200000000000003,1.0,20.540421510296436,9.600000000000001,1.0,20.540421510296436,0.0,0.0,20.540421510296436,48.0,1.0,39.5625,6.0,1.0,20.540421510296436,79.32713300283851,0.0,79.32713300283851,285577.6788102187,0.0,285577.6788102187,6.0,1.0,20.540421510296436,79.32713300283851,0.0,79.32713300283851,285577.6788102187,0.0,285577.6788102187,20.0,2020811.007088202,0.0 
 01/01  12:00:00,0.0,0.0,31.47029730731469,16.200000000000003,1.0,31.47029730731469,9.600000000000001,1.0,31.47029730731469,0.0,0.0,31.47029730731469,48.0,1.0,60.25,6.0,1.0,31.47029730731469,121.5383267030237,0.0,121.5383267030237,437537.97613088536,0.0,437537.97613088536,6.0,1.0,31.47029730731469,121.5383267030237,0.0,121.5383267030237,437537.97613088536,0.0,437537.97613088536,20.0,1671626.978969276,0.0 
 01/01  13:00:00,0.0,0.0,39.75487387695713,16.200000000000003,1.0,39.75487387695713,9.600000000000001,1.0,39.75487387695713,0.0,0.0,39.75487387695713,48.0,1.0,75.8125,6.0,1.0,39.75487387695713,153.53337155070562,0.0,153.53337155070562,552720.1375825403,0.0,552720.1375825403,6.0,1.0,39.75487387695713,153.53337155070562,0.0,153.53337155070562,552720.1375825403,0.0,552720.1375825403,20.0,1357430.3646885506,0.0 
 01/01  14:00:00,0.0,0.0,39.49126141676211,4.050000000000001,0.25,39.49126141676211,9.600000000000001,1.0,39.49126141676211,12.150000000000002,0.75,39.49126141676211,48.0,1.0,75.3125,6.0,1.0,39.49126141676211,152.51529990691716,0.0,152.51529990691716,549055.0796649018,0.0,549055.0796649018,6.0,1.0,39.49126141676211,152.51529990691716,0.0,152.51529990691716,549055.0796649018,0.0,549055.0796649018,20.0,1175939.4211002216,0.0 
 01/01  15:00:00,0.0,0.0,34.2931358532548,0.0,0.0,34.2931358532548,9.600000000000001,1.0,34.2931358532548,16.200000000000003,1.0,34.2931358532548,48.0,1.0,65.5625,6.0,1.0,34.2931358532548,132.44013262103178,0.0,132.44013262103178,476784.47743571445,0.0,476784.47743571445,6.0,1.0,34.2931358532548,132.44013262103178,0.0,132.44013262103178,476784.47743571445,0.0,476784.47743571445,20.0,1117918.4145147733,0.0 
 01/01  16:00:00,0.0,0.0,25.44751234876782,0.0,0.0,25.44751234876782,9.600000000000001,1.0,25.44751234876782,16.200000000000003,1.0,25.44751234876782,48.0,1.0,48.875,6.0,1.0,25.44751234876782,98.27832382457021,0.0,98.27832382457021,353801.9657684528,0.0,353801.9657684528,6.0,1.0,25.44751234876782,98.27832382457021,0.0,98.27832382457021,353801.9657684528,0.0,353801.9657684528,20.0,1171973.1872339626,0.0 
 01/01  17:00:00,0.0,0.0,13.69988295221852,0.0,0.0,13.69988295221852,9.600000000000001,1.0,13.69988295221852,16.200000000000003,1.0,13.69988295221852,48.0,1.0,26.5,6.0,1.0,13.69988295221852,52.90896472251968,0.0,52.90896472251968,190472.27300107083,0.0,190472.27300107083,6.0,1.0,13.69988295221852,52.90896472251968,0.0,52.90896472251968,190472.27300107083,0.0,190472.27300107083,20.0,1330900.204594606,0.0 
 01/01  18:00:00,0.0,0.0,2.2382116677653894,0.0,0.0,2.2382116677653894,7.200000000000001,0.75,2.2382116677653894,12.150000000000002,0.75,2.2382116677653894,36.0,0.75,4.375,4.5,0.75,2.2382116677653894,8.643976199238557,0.0,8.643976199238557,31118.314317258806,0.0,31118.314317258806,4.5,0.75,2.2382116677653894,8.643976199238557,0.0,8.643976199238557,31118.314317258806,0.0,31118.314317258806,20.0,1820289.2799363625,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2218592.4275932587,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2468770.726397624,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2632354.622777212,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2741345.9434150327,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2744780.6453474713,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2660250.257213156,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2705923.0338170794,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999996,2952856.0224004383,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3067014.321458962,0.0 
 01/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2962124.695659491,0.0 
 01/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2946098.4369418067,0.0 
 01/02  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2960709.741915901,0.0 
 01/02  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2997745.1345314085,0.0 
 01/02  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3027338.5662611923,0.0 
 01/02  09:00:00,0.0,0.0,2.8848392911151746,8.100000000000001,0.5,2.9110687646417404,4.800000000000001,0.5,2.900684676686537,0.0,0.0,2.8848392911151746,24.0,0.5,5.5625,3.0,0.5,2.900684676686537,11.202447770191245,0.0,11.202447770191245,40328.81197268848,0.0,40328.81197268848,3.0,0.5,2.900684676686537,11.202447770191245,0.0,11.202447770191245,40328.81197268848,0.0,40328.81197268848,20.0,3042451.24653373,0.0 
 01/02  10:00:00,0.0,0.0,17.867498445543692,16.200000000000003,1.0,18.07430156412315,9.600000000000001,1.0,18.06906231671006,0.0,0.0,17.867498445543692,48.0,1.0,34.375,6.0,1.0,18.06906231671006,69.78274077363616,0.0,69.78274077363616,251217.86678509018,0.0,251217.86678509018,6.0,1.0,18.06906231671006,69.78274077363616,0.0,69.78274077363616,251217.86678509018,0.0,251217.86678509018,20.0,2841778.6879192055,0.0 
 01/02  11:00:00,0.0,0.0,37.50906429052999,16.200000000000003,1.0,40.08442854583559,9.600000000000001,1.0,40.818386216845816,0.0,0.0,37.50906429052999,48.0,1.0,72.625,6.0,1.0,40.818386216845816,157.6406575085045,0.0,157.6406575085045,567506.3670306162,0.0,567506.3670306162,6.0,1.0,40.818386216845816,157.6406575085045,0.0,157.6406575085045,567506.3670306162,0.0,567506.3670306162,20.0,2336231.527999669,0.0 
 01/02  12:00:00,0.0,0.0,48.28173602833372,16.200000000000003,1.0,50.108980581073965,9.600000000000001,1.0,52.10582908835086,0.0,0.0,48.28173602833372,48.0,1.0,93.3125,6.0,1.0,52.10582908835086,201.23277568782126,0.0,201.23277568782126,724437.9924761566,0.0,724437.9924761566,6.0,1.0,52.10582908835086,201.23277568782126,0.0,201.23277568782126,724437.9924761566,0.0,724437.9924761566,20.0,1792680.0850487272,0.0 
 01/02  13:00:00,0.0,0.0,50.93966730003135,16.200000000000003,1.0,51.45966839171177,9.600000000000001,1.0,53.6548932404588,0.0,0.0,50.93966730003135,48.0,1.0,97.9375,6.0,1.0,53.6548932404588,207.21526333845674,0.0,207.21526333845674,745974.9480184441,0.0,745974.9480184441,6.0,1.0,53.6548932404588,207.21526333845674,0.0,207.21526333845674,745974.9480184441,0.0,745974.9480184441,19.999999999999996,1415533.0767702963,0.0 
 01/02  14:00:00,0.0,0.0,50.84750778750798,4.050000000000001,0.25,50.85776466304219,9.600000000000001,1.0,53.217786614603796,12.150000000000002,0.75,51.04812650660212,48.0,1.0,97.625,6.0,1.0,53.217786614603796,205.52715701462887,0.0,205.52715701462887,739897.7652526639,0.0,739897.7652526639,6.0,1.0,53.217786614603796,205.52715701462887,0.0,205.52715701462887,739897.7652526639,0.0,739897.7652526639,20.0,1230655.1673411685,0.0 
 01/02  15:00:00,0.0,0.0,46.240005261923145,0.0,0.0,46.240005261923145,9.600000000000001,1.0,47.93604339017496,16.200000000000003,1.0,46.82207119463436,48.0,1.0,88.6875,6.0,1.0,47.93604339017496,185.12905821996293,0.0,185.12905821996293,666464.6095918666,0.0,666464.6095918666,6.0,1.0,47.93604339017496,185.12905821996293,0.0,185.12905821996293,666464.6095918666,0.0,666464.6095918666,20.0,1170192.219116936,0.0 
 01/02  16:00:00,0.0,0.0,35.44508270273212,0.0,0.0,35.44508270273212,9.600000000000001,1.0,35.72954778416211,16.200000000000003,1.0,35.60887705750835,48.0,1.0,67.8125,6.0,1.0,35.72954778416211,137.98755725556663,0.0,137.98755725556663,496755.2061200398,0.0,496755.2061200398,6.0,1.0,35.72954778416211,137.98755725556663,0.0,137.98755725556663,496755.2061200398,0.0,496755.2061200398,20.0,1237396.7830965598,0.0 
 01/02  17:00:00,0.0,0.0,19.68538558545936,0.0,0.0,19.68538558545936,9.600000000000001,1.0,19.68538558545936,16.200000000000003,1.0,19.68538558545936,48.0,1.0,37.875,6.0,1.0,19.68538558545936,76.02498321502841,0.0,76.02498321502841,273689.9395741023,0.0,273689.9395741023,6.0,1.0,19.68538558545936,76.02498321502841,0.0,76.02498321502841,273689.9395741023,0.0,273689.9395741023,20.0,1490769.0523165455,0.0 
 01/02  18:00:00,0.0,0.0,3.3046632283108264,0.0,0.0,3.3046632283108264,7.200000000000001,0.75,3.3046632283108264,12.150000000000002,0.75,3.3046632283108264,36.0,0.75,6.4375,4.5,0.75,3.3046632283108264,12.762613430809743,0.0,12.762613430809743,45945.40835091508,0.0,45945.40835091508,4.5,0.75,3.3046632283108264,12.762613430809743,0.0,12.762613430809743,45945.40835091508,0.0,45945.40835091508,20.0,1915012.57797396,0.0 
