Latitude (decimal degrees): 54.515
Longitude (decimal degrees): 18.540
Elevation (m): 19.0
month,year
1,2005
2,2008
3,2006
4,2007
5,2009
6,2007
7,2009
8,2008
9,2007
10,2007
11,2010
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101391.0
20050101:0100,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101351.0
20050101:0200,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101341.0
20050101:0300,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101311.0
20050101:0400,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101321.0
20050101:0500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101341.0
20050101:0600,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101351.0
20050101:0700,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101401.0
20050101:0800,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,101471.0
20050101:0900,0.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,101531.0
20050101:1000,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,101571.0
20050101:1100,0.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,101561.0
20050101:1200,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,101561.0
20050101:1300,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,101531.0
20050101:1400,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,101551.0
20050101:1500,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101541.0
20050101:1600,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101531.0
20050101:1700,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101511.0
20050101:1800,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101491.0
20050101:1900,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101431.0
20050101:2000,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101371.0
20050101:2100,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101272.0
20050101:2200,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,101172.0
