,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-01 00:00:00,0.0,19.451934597767945,-0.82,0.0,0.0
2009-12-01 01:00:00,0.0,19.270335045879726,-0.24,0.0,0.0
2009-12-01 02:00:00,0.0,19.099691665680375,0.34,0.0,0.0
2009-12-01 03:00:00,0.0,18.950739902197917,0.93,0.0,0.0
2009-12-01 04:00:00,0.0,18.812181558222775,1.51,0.0,0.0
2009-12-01 05:00:00,3446.238169463706,20.000000000000004,2.09,3446.238169463706,0.0
2009-12-01 06:00:00,2964.1241403508234,20.0,2.67,2964.1241403508234,0.0
2009-12-01 07:00:00,4191.995748162004,20.0,3.25,4191.995748162004,0.0
2009-12-01 08:00:00,4288.029033656942,19.999999999999996,3.83,4288.029033656942,0.0
2009-12-01 09:00:00,4448.154684893237,19.999999999999996,3.92,4448.154684893237,0.0
2009-12-01 10:00:00,4130.964266555185,20.0,5.79,4130.964266555185,0.0
2009-12-01 11:00:00,4014.0913729497775,20.0,7.16,4014.0913729497775,0.0
2009-12-01 12:00:00,3949.6132100690816,20.0,7.67,3949.6132100690816,0.0
2009-12-01 13:00:00,3854.4001404713154,20.0,8.38,3854.4001404713154,0.0
2009-12-01 14:00:00,3910.7642378025694,20.0,8.21,3910.7642378025694,0.0
2009-12-01 15:00:00,3954.8309913456937,20.0,8.48,3954.8309913456937,0.0
2009-12-01 16:00:00,4047.672559019985,20.0,8.64,4047.672559019985,0.0
2009-12-01 17:00:00,4179.704376584089,20.0,8.12,4179.704376584089,0.0
2009-12-01 18:00:00,4329.973261499772,20.0,7.62,4329.973261499772,0.0
2009-12-01 19:00:00,4455.532213883361,20.0,7.24,4455.532213883361,0.0
2009-12-01 20:00:00,4543.945449823949,19.999999999999996,7.24,4543.945449823949,0.0
2009-12-01 21:00:00,3795.0600609275257,20.0,6.76,3795.0600609275257,0.0
2009-12-01 22:00:00,3897.5202571477903,19.999999999999996,6.41,3897.5202571477903,0.0
2009-12-01 23:00:00,0.0,18.466397963177215,6.1,0.0,0.0
2009-12-02 00:00:00,0.0,18.060528612051083,5.78,0.0,0.0
2009-12-02 01:00:00,0.0,17.890968023420413,5.48,0.0,0.0
2009-12-02 02:00:00,0.0,17.75699891795,4.76,0.0,0.0
2009-12-02 03:00:00,0.0,17.63617979893992,4.32,0.0,0.0
2009-12-02 04:00:00,0.0,17.501197056985646,3.38,0.0,0.0
2009-12-02 05:00:00,8086.7028446010045,20.0,2.62,8086.7028446010045,0.0
2009-12-02 06:00:00,7019.557891988641,20.0,1.63,7019.557891988641,0.0
2009-12-02 07:00:00,7184.903257012615,19.999999999999996,0.99,7184.903257012615,0.0
2009-12-02 08:00:00,7289.257119181814,19.999999999999996,0.94,7289.257119181814,0.0
2009-12-02 09:00:00,7371.32161132567,20.0,1.68,7371.32161132567,0.0
2009-12-02 10:00:00,6900.300285844572,20.0,4.23,6900.300285844572,0.0
2009-12-02 11:00:00,6408.323355542527,20.0,7.9,6408.323355542527,0.0
2009-12-02 12:00:00,6088.605688772816,19.999999999999993,9.62,6088.605688772816,0.0
2009-12-02 13:00:00,5840.594991633385,20.0,10.56,5840.594991633385,0.0
2009-12-02 14:00:00,5729.972729857263,20.000000000000004,10.74,5729.972729857263,0.0
2009-12-02 15:00:00,5704.788512596199,20.0,10.68,5704.788512596199,0.0
2009-12-02 16:00:00,5736.977666948055,20.000000000000004,10.15,5736.977666948055,0.0
2009-12-02 17:00:00,5849.576519221378,20.000000000000007,9.09,5849.576519221378,0.0
2009-12-02 18:00:00,5999.464607717123,20.0,8.02,5999.464607717123,0.0
2009-12-02 19:00:00,6055.67513895374,20.0,7.27,6055.67513895374,0.0
2009-12-02 20:00:00,6358.6362233168065,20.0,5.3,6358.6362233168065,0.0
2009-12-02 21:00:00,6728.604690459819,20.0,3.0,6728.604690459819,0.0
2009-12-02 22:00:00,6964.150025025725,20.0,1.82,6964.150025025725,0.0
2009-12-02 23:00:00,0.0,17.75351653053395,0.97,0.0,0.0
2009-12-03 00:00:00,0.0,17.165499046935427,0.39,0.0,0.0
2009-12-03 01:00:00,153.52037996502025,17.000000000000004,0.52,153.52037996502025,0.0
2009-12-03 02:00:00,518.1862445169716,17.0,0.49,518.1862445169716,0.0
2009-12-03 03:00:00,760.3399182660148,17.0,0.7,760.3399182660148,0.0
2009-12-03 04:00:00,1004.0789130929057,17.0,0.72,1004.0789130929057,0.0
2009-12-03 05:00:00,10452.436522760612,20.0,0.68,10452.436522760612,0.0
2009-12-03 06:00:00,8947.071443108642,20.0,0.62,8947.071443108642,0.0
2009-12-03 07:00:00,8992.953741672556,20.0,0.53,8992.953741672556,0.0
2009-12-03 08:00:00,9133.626784183389,20.000000000000004,-0.15,9133.626784183389,0.0
2009-12-03 09:00:00,9132.010663018997,20.0,0.84,9132.010663018997,0.0
2009-12-03 10:00:00,8614.054411874878,20.0,3.39,8614.054411874878,0.0
2009-12-03 11:00:00,8062.875713424573,20.0,7.17,8062.875713424573,0.0
2009-12-03 12:00:00,7730.427095798387,20.0,8.68,7730.427095798387,0.0
2009-12-03 13:00:00,7447.647187642836,20.000000000000004,9.58,7447.647187642836,0.0
2009-12-03 14:00:00,7298.086985268996,20.0,9.79,7298.086985268996,0.0
2009-12-03 15:00:00,7247.292803162399,20.0,9.66,7247.292803162399,0.0
2009-12-03 16:00:00,7264.313307581448,20.0,9.01,7264.313307581448,0.0
2009-12-03 17:00:00,7389.4947067635885,20.0,7.65,7389.4947067635885,0.0
2009-12-03 18:00:00,7559.883934637451,19.999999999999993,6.26,7559.883934637451,0.0
2009-12-03 19:00:00,7639.619140429992,19.999999999999996,5.21,7639.619140429992,0.0
2009-12-03 20:00:00,7749.5033075768115,20.0,4.54,7749.5033075768115,0.0
2009-12-03 21:00:00,7859.363150688256,20.0,3.96,7859.363150688256,0.0
2009-12-03 22:00:00,7941.379575772515,20.0,3.57,7941.379575772515,0.0
2009-12-03 23:00:00,0.0,17.38986284686774,3.27,0.0,0.0
2009-12-04 00:00:00,649.5208756498198,17.0,3.01,649.5208756498198,0.0
2009-12-04 01:00:00,1093.7367094590545,17.0,2.77,1093.7367094590545,0.0
2009-12-04 02:00:00,1308.2734702904343,17.000000000000004,2.64,1308.2734702904343,0.0
2009-12-04 03:00:00,1517.1950423176095,16.999999999999996,2.5,1517.1950423176095,0.0
2009-12-04 04:00:00,1717.906010702779,17.000000000000004,2.38,1717.906010702779,0.0
2009-12-04 05:00:00,11061.02874724625,20.0,2.19,11061.02874724625,0.0
2009-12-04 06:00:00,9529.003215391858,20.0,2.0,9529.003215391858,0.0
2009-12-04 07:00:00,9550.875506793296,20.0,1.79,9550.875506793296,0.0
2009-12-04 08:00:00,9875.447612294427,20.0,-0.47,9875.447612294427,0.0
2009-12-04 09:00:00,9861.520037710652,20.000000000000004,0.45,9861.520037710652,0.0
2009-12-04 10:00:00,9217.582981950665,20.0,3.87,9217.582981950665,0.0
2009-12-04 11:00:00,8801.775974159591,20.0,6.55,8801.775974159591,0.0
2009-12-04 12:00:00,8423.27029703126,20.000000000000004,8.3,8423.27029703126,0.0
2009-12-04 13:00:00,8150.173631240149,20.0,9.13,8150.173631240149,0.0
2009-12-04 14:00:00,7988.196719915732,19.999999999999993,9.35,7988.196719915732,0.0
2009-12-04 15:00:00,7925.476577620441,20.0,9.29,7925.476577620441,0.0
2009-12-04 16:00:00,7915.007270188641,20.0,8.82,7915.007270188641,0.0
2009-12-04 17:00:00,7983.122020993604,20.0,7.8,7983.122020993604,0.0
2009-12-04 18:00:00,8113.942528211604,20.0,6.6,8113.942528211604,0.0
2009-12-04 19:00:00,8172.87990176011,19.999999999999993,5.58,8172.87990176011,0.0
2009-12-04 20:00:00,8273.558061942695,20.0,4.85,8273.558061942695,0.0
2009-12-04 21:00:00,8365.469496356689,20.0,4.28,8365.469496356689,0.0
2009-12-04 22:00:00,8440.170467642874,19.999999999999996,3.83,8440.170467642874,0.0
2009-12-04 23:00:00,0.0,17.202440914852655,3.44,0.0,0.0
2009-12-05 00:00:00,1244.1717001853433,17.0,3.14,1244.1717001853433,0.0
2009-12-05 01:00:00,1569.1650648383536,17.0,2.95,1569.1650648383536,0.0
2009-12-05 02:00:00,1765.3415580409803,17.0,2.91,1765.3415580409803,0.0
2009-12-05 03:00:00,1953.6804650875467,17.0,2.88,1953.6804650875467,0.0
2009-12-05 04:00:00,2130.4262975282945,17.0,2.9,2130.4262975282945,0.0
2009-12-05 05:00:00,11420.830232951768,20.0,2.86,11420.830232951768,0.0
2009-12-05 06:00:00,9859.50842764112,20.0,2.76,9859.50842764112,0.0
2009-12-05 07:00:00,9856.493735608135,19.999999999999993,2.6,9856.493735608135,0.0
2009-12-05 08:00:00,9906.791442266003,20.0,2.19,9906.791442266003,0.0
2009-12-05 09:00:00,9948.359969415153,20.0,2.48,9948.359969415153,0.0
2009-12-05 10:00:00,9498.368667339035,20.0,4.22,9498.368667339035,0.0
2009-12-05 11:00:00,9187.938195521567,20.0,5.94,9187.938195521567,0.0
2009-12-05 12:00:00,8926.093639271516,20.0,6.96,8926.093639271516,0.0
2009-12-05 13:00:00,8681.657064575047,19.999999999999996,7.66,8681.657064575047,0.0
2009-12-05 14:00:00,8560.395618613777,19.999999999999993,7.75,8560.395618613777,0.0
2009-12-05 15:00:00,8604.913295801289,20.0,7.04,8604.913295801289,0.0
2009-12-05 16:00:00,8554.66207955391,20.0,7.0,8554.66207955391,0.0
2009-12-05 17:00:00,8598.892115862653,20.0,6.33,8598.892115862653,0.0
2009-12-05 18:00:00,8714.83475750091,20.000000000000004,5.36,8714.83475750091,0.0
2009-12-05 19:00:00,8766.177487670198,20.0,4.48,8766.177487670198,0.0
2009-12-05 20:00:00,8857.254249865226,20.0,3.88,8857.254249865226,0.0
2009-12-05 21:00:00,8946.729460571603,20.0,3.37,8946.729460571603,0.0
2009-12-05 22:00:00,9024.17763235232,20.000000000000004,2.93,9024.17763235232,0.0
2009-12-05 23:00:00,0.0,17.00340355348895,2.49,0.0,0.0
2009-12-06 00:00:00,1896.8432030349466,17.0,2.09,1896.8432030349466,0.0
2009-12-06 01:00:00,2123.16065512356,17.0,1.8,2123.16065512356,0.0
2009-12-06 02:00:00,2358.716357439382,17.0,1.31,2358.716357439382,0.0
2009-12-06 03:00:00,2562.249162471064,17.0,1.2,2562.249162471064,0.0
2009-12-06 04:00:00,2761.8949822063423,17.0,1.08,2761.8949822063423,0.0
2009-12-06 05:00:00,12214.555845629058,20.0,0.9,12214.555845629058,0.0
2009-12-06 06:00:00,10676.541532162193,20.0,0.74,10676.541532162193,0.0
2009-12-06 07:00:00,10682.238682390698,20.0,0.63,10682.238682390698,0.0
2009-12-06 08:00:00,10836.766584231273,20.0,-0.43,10836.766584231273,0.0
2009-12-06 09:00:00,10854.900028530661,20.0,0.16,10854.900028530661,0.0
2009-12-06 10:00:00,10316.066820312295,19.999999999999996,2.69,10316.066820312295,0.0
2009-12-06 11:00:00,9885.849967182514,20.0,5.35,9885.849967182514,0.0
2009-12-06 12:00:00,9599.258647509996,19.999999999999996,6.52,9599.258647509996,0.0
2009-12-06 13:00:00,9388.0126456026,20.000000000000004,6.9,9388.0126456026,0.0
