Date/Time,ZONE SURFACE NORTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4721530.269765189,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4813811.607117969,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4903569.855196985,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5009668.063019868,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5078400.5365555575,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5131181.825815297,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5169644.277943572,0.0 
 01/01  08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5221340.250739943,0.0 
 01/01  09:00:00,0.0,0.0,4.9149869579724355,12.150000000000002,0.75,9.850506719440464,7.200000000000001,0.75,10.122229227590083,0.0,0.0,4.9149869579724355,36.0,0.75,9.417837765215982,4.5,0.75,10.122229227590083,40.29395446467618,12.15726069106262,28.136693773613565,145058.23607283426,43766.13848782543,101292.09758500883,4.5,0.75,10.122229227590083,40.29395446467618,12.15726069106262,28.136693773613565,145058.23607283426,43766.13848782543,101292.09758500883,20.0,5155895.88199959,0.0 
 01/01  10:00:00,0.0,0.0,24.34690761479459,16.200000000000003,1.0,53.97753405543435,9.600000000000001,1.0,67.97328985828065,0.0,0.0,24.34690761479459,48.0,1.0,49.91400174010657,6.0,1.0,67.97328985828065,272.5523971616957,83.02518141691186,189.5272157447838,981188.6297821044,298890.6531008827,682297.9766812217,6.0,1.0,67.97328985828065,272.5523971616957,83.02518141691186,189.5272157447838,981188.6297821044,298890.6531008827,682297.9766812217,19.999999999999996,4288450.975600453,0.0 
 01/01  11:00:00,0.0,0.0,41.005113565325686,16.200000000000003,1.0,73.22126624338034,9.600000000000001,1.0,125.05497130258047,0.0,0.0,41.005113565325686,48.0,1.0,89.38817032422232,6.0,1.0,125.05497130258047,508.0886032017046,189.78393338979845,318.3046698119061,1829118.9715261364,683222.1602032745,1145896.8113228618,6.0,1.0,125.05497130258047,508.0886032017046,189.78393338979845,318.3046698119061,1829118.9715261364,683222.1602032745,1145896.8113228618,20.0,2928833.058734228,0.0 
 01/01  12:00:00,0.0,0.0,53.76968327776123,16.200000000000003,1.0,73.3115909484286,9.600000000000001,1.0,208.05783817621398,0.0,0.0,53.76968327776123,48.0,1.0,123.45188712186089,6.0,1.0,208.05783817621398,854.3515615569717,374.12888725043,480.22267430654165,3075665.621605098,1346863.994101548,1728801.62750355,6.0,1.0,208.05783817621398,854.3515615569717,374.12888725043,480.22267430654165,3075665.621605098,1346863.994101548,1728801.62750355,20.0,1373338.4720693922,0.0 
 01/01  13:00:00,0.0,0.0,55.02828285096592,0.0,0.0,55.02828285096592,9.600000000000001,1.0,228.23794078420048,16.200000000000003,1.0,74.53360565432872,48.0,1.0,128.06984123981363,6.0,1.0,228.23794078420048,940.2538510528493,432.4758398757411,507.77801117710834,3384913.863790258,1556913.0235526676,1828000.84023759,6.0,1.0,228.23794078420048,940.2538510528493,432.4758398757411,507.77801117710834,3384913.863790258,1556913.0235526676,1828000.84023759,20.10634265875867,140486.58785066073,0.0 
 01/01  14:00:00,0.0,0.0,40.81994560797332,0.0,0.0,40.81994560797332,9.600000000000001,1.0,144.70077765230326,16.200000000000003,1.0,77.18435160743525,48.0,1.0,90.14947421187793,6.0,1.0,144.70077765230326,593.5332122239856,261.04939843318783,332.4838137907978,2136719.564006348,939777.8343594763,1196941.729646872,6.0,1.0,144.70077765230326,593.5332122239856,261.04939843318783,332.4838137907978,2136719.564006348,939777.8343594763,1196941.729646872,20.471295847627385,0.0,0.0 
 01/01  15:00:00,0.0,0.0,14.559652245329579,0.0,0.0,14.559652245329579,9.600000000000001,1.0,21.064957845040105,16.200000000000003,1.0,18.16821422171006,48.0,1.0,28.481978471985038,6.0,1.0,21.064957845040105,83.65949822502357,18.12236035901582,65.53713786600775,301174.1936100849,65240.497292456945,235933.69631762794,6.0,1.0,21.064957845040105,83.65949822502357,18.12236035901582,65.53713786600775,301174.1936100849,65240.497292456945,235933.69631762794,20.023346828297097,752075.2725441307,0.0 
 01/01  16:00:00,0.0,0.0,1.8876757161042543,0.0,0.0,1.8876757161042543,7.200000000000001,0.75,1.8876757161042543,12.150000000000002,0.75,1.8876757161042543,36.0,0.75,3.6875,4.5,0.75,1.8876757161042543,7.290205925061835,0.0,7.290205925061835,26244.741330222605,0.0,26244.741330222605,4.5,0.75,1.8876757161042543,7.290205925061835,0.0,7.290205925061835,26244.741330222605,0.0,26244.741330222605,20.00000000000679,2133944.912106518,0.0 
 01/01  17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3074789.42356146,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3632390.793024905,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3966436.938990621,0.0 
 01/01  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4181814.4464677107,0.0 
 01/01  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4330669.841369899,0.0 
 01/01  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4430956.927455731,0.0 
 01/01  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4521582.713037155,0.0 
 01/01  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4613714.303718131,0.0 
 01/02  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4698506.268977599,0.0 
 01/02  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4781860.838100128,0.0 
 01/02  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4822646.973640843,0.0 
