Date/Time,ZONE SURFACE NORTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Area [m2](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Sunlit Fraction [](Hourly),ZONE SUBSURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10218950.639153033,0.0 
 01/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12186315.192452978,0.0 
 01/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12935276.31555865,0.0 
 01/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13156631.652313728,0.0 
 01/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13207606.671763178,0.0 
 01/01  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13263218.804145955,0.0 
 01/01  07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13312120.258826228,0.0 
 01/01  08:00:00,0.0,0.0,18.155336534580663,12.150000000000002,0.75,144.19177178980976,7.200000000000001,0.75,103.18001981548859,0.0,0.0,18.155336534580663,36.0,0.75,41.04517554861483,4.5,0.75,103.18001981548859,400.85874211922686,126.80676009221273,274.0519820270141,1443091.4716292168,456504.33633196587,986587.1352972508,4.5,0.75,103.18001981548859,400.85874211922686,126.80676009221273,274.0519820270141,1443091.4716292168,456504.33633196587,986587.1352972508,20.0,12180459.002743915,0.0 
 01/01  09:00:00,0.0,0.0,55.425587849225124,16.200000000000003,1.0,216.31082584909979,9.600000000000001,1.0,205.4524650980954,0.0,0.0,55.425587849225124,48.0,1.0,128.17535012367367,6.0,1.0,205.4524650980954,820.1042317023414,328.8395775950406,491.2646541073007,2952375.2341284286,1183822.4793421463,1768552.7547862828,6.0,1.0,205.4524650980954,820.1042317023414,328.8395775950406,491.2646541073007,2952375.2341284286,1183822.4793421463,1768552.7547862828,20.0,9026343.866710274,0.0 
 01/01  10:00:00,0.0,0.0,79.35046444364451,16.200000000000003,1.0,183.89248894864107,9.600000000000001,1.0,223.89327619289404,0.0,0.0,79.35046444364451,48.0,1.0,185.27515093013463,6.0,1.0,223.89327619289404,903.3420758400301,347.34133558553594,556.0007402544943,3252031.4730241084,1250428.808107929,2001602.6649161791,6.0,1.0,223.89327619289404,903.3420758400301,347.34133558553594,556.0007402544943,3252031.4730241084,1250428.808107929,2001602.6649161791,20.0,6279249.607153231,0.0 
 01/01  11:00:00,0.0,0.0,81.34299308954343,16.200000000000003,1.0,100.18363232064011,9.600000000000001,1.0,126.69756838216001,0.0,0.0,81.34299308954343,48.0,1.0,169.49027459124494,6.0,1.0,126.69756838216001,499.6677347952446,83.0438837017853,416.6238510934593,1798803.8452628804,298957.98132642714,1499845.8639364534,6.0,1.0,126.69756838216001,499.6677347952446,83.0438837017853,416.6238510934593,1798803.8452628804,298957.98132642714,1499845.8639364534,20.0,5344093.906879078,0.0 
 01/01  12:00:00,0.0,0.0,91.9878394280798,16.200000000000003,1.0,99.22810373495597,9.600000000000001,1.0,162.20244083191324,0.0,0.0,91.9878394280798,48.0,1.0,195.78671221838346,6.0,1.0,162.20244083191324,642.4749011281027,123.56282037481057,518.9120807532921,2312909.64406117,444826.1533493181,1868083.4907118515,6.0,1.0,162.20244083191324,642.4749011281027,123.56282037481057,518.9120807532921,2312909.64406117,444826.1533493181,1868083.4907118515,20.0,4266706.470108539,0.0 
 01/01  13:00:00,0.0,0.0,83.44964768395579,0.0,0.0,83.44964768395579,9.600000000000001,1.0,146.89721034572548,16.200000000000003,1.0,91.8009310127404,48.0,1.0,177.36866420082623,6.0,1.0,146.89721034572548,584.0470546416279,129.0261944929428,455.02086014868513,2102569.396709861,464494.30017459404,1638075.0965352664,6.0,1.0,146.89721034572548,584.0470546416279,129.0261944929428,455.02086014868513,2102569.396709861,464494.30017459404,1638075.0965352664,20.0,3243982.54711912,0.0 
 01/01  14:00:00,0.0,0.0,44.115674813006066,0.0,0.0,44.115674813006066,9.600000000000001,1.0,47.08473454847369,16.200000000000003,1.0,45.09677543503153,48.0,1.0,85.33844165356889,6.0,1.0,47.08473454847369,183.09310733051535,9.844653672797758,173.24845365771762,659135.1863898553,35440.75322207193,623694.4331677834,6.0,1.0,47.08473454847369,183.09310733051535,9.844653672797758,173.24845365771762,659135.1863898553,35440.75322207193,623694.4331677834,20.0,3913369.0725957267,0.0 
 01/01  15:00:00,0.0,0.0,29.934084390371762,0.0,0.0,29.934084390371762,9.600000000000001,1.0,29.934084390371762,16.200000000000003,1.0,29.934084390371762,48.0,1.0,57.4375,6.0,1.0,29.934084390371762,115.60547053831826,0.0,115.60547053831826,416179.6939379457,0.0,416179.6939379457,6.0,1.0,29.934084390371762,115.60547053831826,0.0,115.60547053831826,416179.6939379457,0.0,416179.6939379457,20.0,4861092.144201843,0.0 
 01/01  16:00:00,0.0,0.0,15.56064808623707,0.0,0.0,15.56064808623707,9.600000000000001,1.0,15.56064808623707,16.200000000000003,1.0,15.56064808623707,48.0,1.0,30.0625,6.0,1.0,15.56064808623707,60.095241946642915,0.0,60.095241946642915,216342.8710079145,0.0,216342.8710079145,6.0,1.0,15.56064808623707,60.095241946642915,0.0,60.095241946642915,216342.8710079145,0.0,216342.8710079145,20.0,5575147.191415994,0.0 
 01/01  17:00:00,0.0,0.0,1.1203957419970536,0.0,0.0,1.1203957419970536,4.800000000000001,0.5,1.1203957419970536,8.100000000000001,0.5,1.1203957419970536,24.0,0.5,2.1875,3.0,0.5,1.1203957419970536,4.326969726335064,0.0,4.326969726335064,15577.09101480623,0.0,15577.09101480623,3.0,0.5,1.1203957419970536,4.326969726335064,0.0,4.326969726335064,15577.09101480623,0.0,15577.09101480623,20.0,6384664.80713696,0.0 
 01/01  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7053856.884496262,0.0 
 01/01  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7509251.099748065,0.0 
