,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-01 00:00:00,0.0,19.643909865746792,-0.82,0.0,0.0
2009-12-01 01:00:00,0.0,19.473678733759364,-0.24,0.0,0.0
2009-12-01 02:00:00,0.0,19.300446301722175,0.34,0.0,0.0
2009-12-01 03:00:00,0.0,19.145843133444302,0.93,0.0,0.0
2009-12-01 04:00:00,0.0,19.000954702643178,1.51,0.0,0.0
2009-12-01 05:00:00,2910.1455483743616,20.0,2.09,2910.1455483743616,0.0
2009-12-01 06:00:00,2548.1596944798816,20.000000000000004,2.67,2548.1596944798816,0.0
2009-12-01 07:00:00,3782.650348136706,20.0,3.25,3782.650348136706,0.0
2009-12-01 08:00:00,3898.5034356864444,20.0,3.83,3898.5034356864444,0.0
2009-12-01 09:00:00,4068.8572009148556,20.0,3.92,4068.8572009148556,0.0
2009-12-01 10:00:00,3824.972990728003,20.000000000000007,5.79,3824.972990728003,0.0
2009-12-01 11:00:00,3746.54859922465,20.000000000000007,7.16,3746.54859922465,0.0
2009-12-01 12:00:00,3697.7349883901143,20.000000000000004,7.67,3697.7349883901143,0.0
2009-12-01 13:00:00,3626.4005851172774,20.0,8.38,3626.4005851172774,0.0
2009-12-01 14:00:00,3674.1889767005687,20.0,8.21,3674.1889767005687,0.0
2009-12-01 15:00:00,3717.396851165073,20.0,8.48,3717.396851165073,0.0
2009-12-01 16:00:00,3804.0069044296856,20.0,8.64,3804.0069044296856,0.0
2009-12-01 17:00:00,3922.720682654053,20.0,8.12,3922.720682654053,0.0
2009-12-01 18:00:00,4063.5434722550763,20.0,7.62,4063.5434722550763,0.0
2009-12-01 19:00:00,4182.6084976797065,20.0,7.24,4182.6084976797065,0.0
2009-12-01 20:00:00,4273.448002697924,20.0,7.24,4273.448002697924,0.0
2009-12-01 21:00:00,3519.694198966246,20.0,6.76,3519.694198966246,0.0
2009-12-01 22:00:00,3616.391861007567,20.0,6.41,3616.391861007567,0.0
2009-12-01 23:00:00,0.0,18.546587207924176,6.1,0.0,0.0
2009-12-02 00:00:00,0.0,18.152625780376432,5.78,0.0,0.0
2009-12-02 01:00:00,0.0,17.985332949139032,5.48,0.0,0.0
2009-12-02 02:00:00,0.0,17.856238926952294,4.76,0.0,0.0
2009-12-02 03:00:00,0.0,17.73802456686024,4.32,0.0,0.0
2009-12-02 04:00:00,0.0,17.609791123311773,3.38,0.0,0.0
2009-12-02 05:00:00,7648.478040310812,20.0,2.62,7648.478040310812,0.0
2009-12-02 06:00:00,6619.344469032275,20.000000000000004,1.63,6619.344469032275,0.0
2009-12-02 07:00:00,6774.897491651755,20.000000000000007,0.99,6774.897491651755,0.0
2009-12-02 08:00:00,6886.1279278531365,20.000000000000004,0.94,6886.1279278531365,0.0
2009-12-02 09:00:00,6994.1881874732035,19.999999999999996,1.68,6994.1881874732035,0.0
2009-12-02 10:00:00,6607.681701574149,20.000000000000004,4.23,6607.681701574149,0.0
2009-12-02 11:00:00,6205.0742377304005,20.0,7.9,6205.0742377304005,0.0
2009-12-02 12:00:00,5923.456528572863,20.0,9.62,5923.456528572863,0.0
2009-12-02 13:00:00,5695.863424408892,19.999999999999996,10.56,5695.863424408892,0.0
2009-12-02 14:00:00,5584.9829828951315,20.0,10.74,5584.9829828951315,0.0
2009-12-02 15:00:00,5550.222062787258,19.999999999999996,10.68,5550.222062787258,0.0
2009-12-02 16:00:00,5558.400894429463,20.0,10.15,5558.400894429463,0.0
2009-12-02 17:00:00,5645.114316902484,20.0,9.09,5645.114316902484,0.0
2009-12-02 18:00:00,5771.370458958403,20.000000000000004,8.02,5771.370458958403,0.0
2009-12-02 19:00:00,5812.200993066085,20.0,7.27,5812.200993066085,0.0
2009-12-02 20:00:00,6068.52581001153,20.0,5.3,6068.52581001153,0.0
2009-12-02 21:00:00,6387.484831779039,20.0,3.0,6387.484831779039,0.0
2009-12-02 22:00:00,6600.797591925752,19.999999999999996,1.82,6600.797591925752,0.0
2009-12-02 23:00:00,0.0,17.853128999178786,0.97,0.0,0.0
2009-12-03 00:00:00,0.0,17.27958571054718,0.39,0.0,0.0
2009-12-03 01:00:00,0.0,17.053195391001314,0.52,0.0,0.0
2009-12-03 02:00:00,261.45262476714703,16.999999999999993,0.49,261.45262476714703,0.0
2009-12-03 03:00:00,541.547185225369,17.000000000000004,0.7,541.547185225369,0.0
2009-12-03 04:00:00,788.4151709225866,17.000000000000004,0.72,788.4151709225866,0.0
2009-12-03 05:00:00,10074.851168068395,20.0,0.68,10074.851168068395,0.0
2009-12-03 06:00:00,8565.647565910016,20.000000000000004,0.62,8565.647565910016,0.0
2009-12-03 07:00:00,8610.554315813708,20.0,0.53,8610.554315813708,0.0
2009-12-03 08:00:00,8738.745596125982,20.0,-0.15,8738.745596125982,0.0
2009-12-03 09:00:00,8769.541226665384,20.0,0.84,8769.541226665384,0.0
2009-12-03 10:00:00,8333.432040576217,20.0,3.39,8333.432040576217,0.0
2009-12-03 11:00:00,7873.790323107976,19.999999999999996,7.17,7873.790323107976,0.0
2009-12-03 12:00:00,7571.234051042879,20.0,8.68,7571.234051042879,0.0
2009-12-03 13:00:00,7306.339221429776,20.0,9.58,7306.339221429776,0.0
2009-12-03 14:00:00,7154.4114600635885,19.999999999999996,9.79,7154.4114600635885,0.0
2009-12-03 15:00:00,7090.625214645592,20.0,9.66,7090.625214645592,0.0
2009-12-03 16:00:00,7079.605358723783,20.0,9.01,7079.605358723783,0.0
2009-12-03 17:00:00,7170.463873767723,20.0,7.65,7170.463873767723,0.0
2009-12-03 18:00:00,7308.683860931904,20.0,6.26,7308.683860931904,0.0
2009-12-03 19:00:00,7365.134673082295,20.0,5.21,7365.134673082295,0.0
2009-12-03 20:00:00,7459.824054464387,20.0,4.54,7459.824054464387,0.0
2009-12-03 21:00:00,7555.770583090024,20.0,3.96,7555.770583090024,0.0
2009-12-03 22:00:00,7628.418652757382,20.0,3.57,7628.418652757382,0.0
2009-12-03 23:00:00,0.0,17.4596343972158,3.27,0.0,0.0
2009-12-04 00:00:00,446.5509545523453,17.0,3.01,446.5509545523453,0.0
2009-12-04 01:00:00,926.039068627464,16.999999999999996,2.77,926.039068627464,0.0
2009-12-04 02:00:00,1139.3905429710123,17.0,2.64,1139.3905429710123,0.0
2009-12-04 03:00:00,1346.5747432603823,17.0,2.5,1346.5747432603823,0.0
2009-12-04 04:00:00,1546.0527762515526,17.0,2.38,1546.0527762515526,0.0
2009-12-04 05:00:00,10724.054323612843,20.0,2.19,10724.054323612843,0.0
2009-12-04 06:00:00,9183.477642280088,20.000000000000004,2.0,9183.477642280088,0.0
2009-12-04 07:00:00,9199.92371399284,20.0,1.79,9199.92371399284,0.0
2009-12-04 08:00:00,9471.26083873177,20.0,-0.47,9471.26083873177,0.0
2009-12-04 09:00:00,9491.37485870752,19.999999999999996,0.45,9491.37485870752,0.0
2009-12-04 10:00:00,8951.397790069725,20.0,3.87,8951.397790069725,0.0
2009-12-04 11:00:00,8595.581476680809,20.0,6.55,8595.581476680809,0.0
2009-12-04 12:00:00,8256.47503112575,20.0,8.3,8256.47503112575,0.0
2009-12-04 13:00:00,7995.09016774863,20.000000000000007,9.13,7995.09016774863,0.0
2009-12-04 14:00:00,7833.220522832975,20.0,9.35,7833.220522832975,0.0
2009-12-04 15:00:00,7757.952043594323,20.000000000000004,9.29,7757.952043594323,0.0
2009-12-04 16:00:00,7720.054198200244,20.0,8.82,7720.054198200244,0.0
2009-12-04 17:00:00,7760.7126311495895,20.0,7.8,7760.7126311495895,0.0
2009-12-04 18:00:00,7861.855460373512,20.000000000000004,6.6,7861.855460373512,0.0
2009-12-04 19:00:00,7896.516274976927,20.000000000000004,5.58,7896.516274976927,0.0
2009-12-04 20:00:00,7979.287816238235,19.999999999999996,4.85,7979.287816238235,0.0
2009-12-04 21:00:00,8056.598085410073,19.999999999999996,4.28,8056.598085410073,0.0
2009-12-04 22:00:00,8119.361786024534,20.0,3.83,8119.361786024534,0.0
2009-12-04 23:00:00,0.0,17.272688109938606,3.44,0.0,0.0
2009-12-05 00:00:00,1028.4961420743307,16.999999999999996,3.14,1028.4961420743307,0.0
2009-12-05 01:00:00,1389.2636429150418,17.0,2.95,1389.2636429150418,0.0
2009-12-05 02:00:00,1585.4080637027273,16.999999999999996,2.91,1585.4080637027273,0.0
2009-12-05 03:00:00,1773.5510905177166,17.0,2.88,1773.5510905177166,0.0
2009-12-05 04:00:00,1951.2867136620014,17.0,2.9,1951.2867136620014,0.0
2009-12-05 05:00:00,11079.243830700536,20.0,2.86,11079.243830700536,0.0
2009-12-05 06:00:00,9510.322453048157,20.000000000000007,2.76,9510.322453048157,0.0
2009-12-05 07:00:00,9502.038011385912,20.0,2.6,9502.038011385912,0.0
2009-12-05 08:00:00,9543.401282121074,19.999999999999996,2.19,9543.401282121074,0.0
2009-12-05 09:00:00,9596.77161837883,19.999999999999993,2.48,9596.77161837883,0.0
2009-12-05 10:00:00,9208.196823783645,20.000000000000004,4.22,9208.196823783645,0.0
2009-12-05 11:00:00,8937.996420754022,19.999999999999996,5.94,8937.996420754022,0.0
2009-12-05 12:00:00,8698.513352909256,20.0,6.96,8698.513352909256,0.0
2009-12-05 13:00:00,8466.422246529004,20.000000000000004,7.66,8466.422246529004,0.0
2009-12-05 14:00:00,8339.957144378768,19.999999999999996,7.75,8339.957144378768,0.0
2009-12-05 15:00:00,8356.1091678929,20.0,7.04,8356.1091678929,0.0
2009-12-05 16:00:00,8293.005933187676,20.0,7.0,8293.005933187676,0.0
2009-12-05 17:00:00,8316.815245288084,20.0,6.33,8316.815245288084,0.0
2009-12-05 18:00:00,8407.605750669272,20.0,5.36,8407.605750669272,0.0
2009-12-05 19:00:00,8437.31220043602,20.0,4.48,8437.31220043602,0.0
2009-12-05 20:00:00,8513.130809667971,20.0,3.88,8513.130809667971,0.0
2009-12-05 21:00:00,8588.95950800906,20.0,3.37,8588.95950800906,0.0
2009-12-05 22:00:00,8654.40082207844,20.0,2.93,8654.40082207844,0.0
2009-12-05 23:00:00,0.0,17.088795004308487,2.49,0.0,0.0
2009-12-06 00:00:00,1620.598638834041,17.0,2.09,1620.598638834041,0.0
2009-12-06 01:00:00,1888.7247382221676,17.0,1.8,1888.7247382221676,0.0
